NUMERO ARBOL,NOMBRE COMUN,ESPECIE CIENTIFICA,ANIO MEDICION,DAP CM,ALTURA M,BIOMASA TOTAL KG,CARBONO TOTAL MG,CO2 EQUIVALENTE MG,ESTADO ARBOL
485,Cedro,Cedrela odorata,2019,51.1,14.0,1.3758,2.5224,2.5224,Activo
486,Lorito,Cojoba arborea,2018,62.5,11.0,1.9992,3.6656,3.6656,Activo
486,Lorito,Cojoba arborea,2019,63.3,11.0,2.0518,3.7619,3.7619,Activo
487,Lorito,Cojoba arborea,2018,54.4,10.0,1.3985,2.5641,2.5641,Activo
487,Lorito,Cojoba arborea,2019,55.4,10.0,1.4514,2.6611,2.6611,Activo
488,Roble sabana,Tabebuia rosea,2018,49.6,10.0,1.112,2.0388,2.0388,Activo
488,Roble sabana,Tabebuia rosea,2019,50.9,10.0,1.1722,2.1493,2.1493,Activo
489,Carao,Cassia grandis,2018,59.5,10.0,1.6789,3.0783,3.0783,Activo
489,Carao,Cassia grandis,2019,60.6,10.0,1.7429,3.1955,3.1955,Activo
490,Caoba,Swietenia macrophylla,2018,33.6,10.0,0.5757,1.0555,1.0555,Activo
490,Caoba,Swietenia macrophylla,2019,34.6,10.0,0.6112,1.1206,1.1206,Activo
491,Caoba,Swietenia macrophylla,2018,22.5,10.0,0.2541,0.4658,0.4658,Activo
491,Caoba,Swietenia macrophylla,2019,24.9,10.0,0.3124,0.5728,0.5728,Activo
492,Higuerón,Ficus sp,2018,23.5,8.0,0.1739,0.3189,0.3189,Activo
492,Higuerón,Ficus sp,2019,25.9,8.0,0.2121,0.3889,0.3889,Activo
493,Higuerón,Ficus sp,2018,19.1,8.0,0.114,0.2089,0.2089,Activo
493,Higuerón,Ficus sp,2019,20.1,8.0,0.1265,0.2319,0.2319,Activo
494,Pochote,Pachira quinata,2018,16.7,5.0,0.0337,0.0618,0.0618,Activo
494,Pochote,Pachira quinata,2019,17.9,5.0,0.0388,0.0712,0.0712,Activo
495,Teca,Tectona grandis,2018,22.5,10.0,0.2771,0.5082,0.5082,Activo
495,Teca,Tectona grandis,2019,23.4,10.0,0.3002,0.5505,0.5505,Activo
496,Guachipelin,Diphysa americana,2018,29.5,10.0,0.7866,1.4422,1.4422,Activo
496,Guachipelin,Diphysa americana,2019,30.4,10.0,0.8363,1.5334,1.5334,Activo
497,Guachipelin,Diphysa americana,2018,29.2,10.0,0.7704,1.4125,1.4125,Activo
497,Guachipelin,Diphysa americana,2019,30.1,10.0,0.8196,1.5027,1.5027,Activo
498,Carao,Cassia grandis,2018,30.3,11.0,0.4565,0.837,0.837,Activo
498,Carao,Cassia grandis,2019,31.1,11.0,0.4814,0.8827,0.8827,Activo
499,Carao,Cassia grandis,2018,73.4,11.0,2.7751,5.0881,5.0881,Activo
499,Carao,Cassia grandis,2019,73.9,11.0,2.8138,5.159,5.159,Activo
500,Carao,Cassia grandis,2018,30.0,11.0,0.4473,0.8202,0.8202,Activo
500,Carao,Cassia grandis,2019,31.1,11.0,0.4814,0.8827,0.8827,Activo
501,Casco de venado,Bauhinia purpurea,2018,21.7,5.0,0.18,0.3301,0.3301,Activo
501,Casco de venado,Bauhinia purpurea,2019,22.7,5.0,0.1973,0.3618,0.3618,Activo
502,Lorito,Cojoba arborea,2018,44.4,10.0,0.9241,1.6943,1.6943,Activo
502,Lorito,Cojoba arborea,2019,44.9,10.0,0.9454,1.7334,1.7334,Activo
503,Cipres,Cupressus lusitanica,2018,39.4,8.0,0.4747,0.8704,0.8704,Activo
503,Cipres,Cupressus lusitanica,2019,40.1,8.0,0.4921,0.9023,0.9023,Activo
504,Cipres,Cupressus lusitanica,2018,34.1,6.0,0.2826,0.5181,0.5181,Activo
504,Cipres,Cupressus lusitanica,2019,35.7,6.0,0.3103,0.5689,0.5689,Activo
505,Mango,Mangifera indica,2018,30.2,5.0,0.2699,0.4948,0.4948,Activo
505,Mango,Mangifera indica,2019,31.0,5.0,0.2847,0.5219,0.5219,Activo
506,Mango,Mangifera indica,2018,29.2,5.0,0.252,0.462,0.462,Activo
506,Mango,Mangifera indica,2019,29.9,5.0,0.2644,0.4848,0.4848,Activo
507,Mango,Mangifera indica,2018,20.1,5.0,0.1176,0.2157,0.2157,Activo
507,Mango,Mangifera indica,2019,20.9,5.0,0.1274,0.2335,0.2335,Activo
508,Mango,Mangifera indica,2018,21.3,5.0,0.1324,0.2427,0.2427,Activo
508,Mango,Mangifera indica,2019,21.9,5.0,0.1401,0.2569,0.2569,Activo
509,Guayaba,Psidium guajava,2018,16.2,5.0,0.0854,0.1566,0.1566,Activo
509,Guayaba,Psidium guajava,2019,16.9,5.0,0.0931,0.1707,0.1707,Activo
510,Guayaba,Psidium guajava,2018,13.5,5.0,0.0589,0.1079,0.1079,Activo
510,Guayaba,Psidium guajava,2019,14.3,5.0,0.0662,0.1214,0.1214,Activo
511,Guayaba,Psidium guajava,2018,17.3,4.0,0.0821,0.1505,0.1505,Activo
511,Guayaba,Psidium guajava,2019,17.9,4.0,0.088,0.1613,0.1613,Activo
512,Guayaba,Psidium guajava,2018,13.9,4.0,0.0525,0.0963,0.0963,Activo
512,Guayaba,Psidium guajava,2019,14.6,4.0,0.0581,0.1064,0.1064,Activo
513,Guayaba,Psidium guajava,2018,14.0,4.0,0.0533,0.0977,0.0977,Activo
513,Guayaba,Psidium guajava,2019,14.7,4.0,0.0589,0.1079,0.1079,Activo
514,Roble sabana,Tabebuia rosea,2018,17.1,6.0,0.0851,0.156,0.156,Activo
514,Roble sabana,Tabebuia rosea,2019,18.3,6.0,0.0977,0.1792,0.1792,Activo
515,Mango,Mangifera indica,2018,19.4,6.0,0.1261,0.2312,0.2312,Activo
515,Mango,Mangifera indica,2019,20.0,6.0,0.1342,0.2461,0.2461,Activo
516,Mango,Mangifera indica,2018,20.2,6.0,0.137,0.2511,0.2511,Activo
516,Mango,Mangifera indica,2019,21.1,6.0,0.1497,0.2745,0.2745,Activo
517,Mango,Mangifera indica,2018,14.6,6.0,0.0706,0.1295,0.1295,Activo
517,Mango,Mangifera indica,2019,15.3,6.0,0.0777,0.1425,0.1425,Activo
518,Higuerón,Ficus sp,2018,51.0,8.0,0.8449,1.5491,1.5491,Activo
518,Higuerón,Ficus sp,2019,51.9,8.0,0.8756,1.6054,1.6054,Activo
519,Llama del bosque,Spathodea campanulata,2018,64.0,16.0,1.7419,3.1938,3.1938,Activo
519,Llama del bosque,Spathodea campanulata,2019,64.7,16.0,1.781,3.2655,3.2655,Activo
520,NR,Azadirachta inidica,2018,34.1,13.0,0.8205,1.5043,1.5043,Activo
520,NR,Azadirachta inidica,2019,36.3,13.0,0.9321,1.7089,1.7089,Activo
521,Grevilea,Grevillea robusta,2018,58.0,14.0,2.0299,3.7218,3.7218,Activo
521,Grevilea,Grevillea robusta,2019,59.3,14.0,2.1238,3.894,3.894,Activo
522,Malinche enano,Caesalpinia pulcherrima,2018,19.7,4.0,0.1449,0.2657,0.2657,Activo
522,Malinche enano,Caesalpinia pulcherrima,2019,20.9,4.0,0.1635,0.2998,0.2998,Activo
523,Malinche enano,Caesalpinia pulcherrima,2018,18.1,4.0,0.1219,0.2235,0.2235,Activo
523,Malinche enano,Caesalpinia pulcherrima,2019,19.2,4.0,0.1375,0.2521,0.2521,Activo
524,Uruca,Trichilia havanensis,2018,37.3,5.0,0.4303,0.7889,0.7889,Activo
524,Uruca,Trichilia havanensis,2019,38.1,5.0,0.4493,0.8238,0.8238,Activo
525,Guanacaste,Enterolobium cyclocarpum,2018,57.0,13.0,1.887,3.4598,3.4598,Activo
525,Guanacaste,Enterolobium cyclocarpum,2019,58.0,13.0,1.9551,3.5848,3.5848,Activo
526,Yos,Sapium glandulosum,2018,28.4,12.0,0.3853,0.7064,0.7064,Activo
526,Yos,Sapium glandulosum,2019,29.7,12.0,0.4221,0.7739,0.7739,Activo
527,Mango,Mangifera indica,2018,18.6,7.0,0.1305,0.2393,0.2393,Activo
527,Mango,Mangifera indica,2019,19.8,7.0,0.1483,0.2718,0.2718,Activo
528,Mango,Mangifera indica,2018,23.4,11.0,0.2964,0.5435,0.5435,Activo
528,Mango,Mangifera indica,2019,24.5,11.0,0.3255,0.5969,0.5969,Activo
529,Nispero,Cordia cymosa,2018,10.3,5.0,0.0257,0.0471,0.0471,Activo
529,Nispero,Cordia cymosa,2019,12.1,5.0,0.0357,0.0654,0.0654,Activo
530,Casco de venado,Bauhinia purpurea,2018,31.6,7.0,0.5036,0.9234,0.9234,Activo
530,Casco de venado,Bauhinia purpurea,2019,32.4,7.0,0.53,0.9717,0.9717,Activo
531,Guachipelin,Diphysa americana,2018,41.0,10.0,1.5395,2.8227,2.8227,Activo
531,Guachipelin,Diphysa americana,2019,41.9,10.0,1.6092,2.9505,2.9505,Activo
532,Roble sabana,Tabebuia rosea,2018,60.6,15.0,2.2946,4.2072,4.2072,Activo
532,Roble sabana,Tabebuia rosea,2019,61.7,15.0,2.3804,4.3644,4.3644,Activo
533,Guanacaste,Enterolobium cyclocarpum,2018,75.4,14.0,3.5374,6.4857,6.4857,Activo
533,Guanacaste,Enterolobium cyclocarpum,2019,76.4,14.0,3.6337,6.6624,6.6624,Activo
534,Isopo,Melaleuca quinquenervia,2018,17.7,5.0,0.0941,0.1724,0.1724,Activo
534,Isopo,Melaleuca quinquenervia,2019,18.4,5.0,0.1018,0.1866,0.1866,Activo
535,Casco de venado,Bauhinia purpurea,2018,21.1,6.0,0.196,0.3593,0.3593,Activo
535,Casco de venado,Bauhinia purpurea,2019,21.9,6.0,0.2114,0.3876,0.3876,Activo
536,Casco de venado,Bauhinia purpurea,2018,17.8,6.0,0.1385,0.254,0.254,Activo
536,Casco de venado,Bauhinia purpurea,2019,18.7,6.0,0.1532,0.2808,0.2808,Activo
537,Madero negro,Gliricidia sepium,2018,21.7,8.0,0.2308,0.4231,0.4231,Activo
537,Madero negro,Gliricidia sepium,2019,22.8,8.0,0.2553,0.468,0.468,Activo
538,Isopo,Melaleuca quinquenervia,2018,23.6,8.0,0.2439,0.4472,0.4472,Activo
538,Isopo,Melaleuca quinquenervia,2019,24.7,8.0,0.2677,0.4908,0.4908,Activo
539,Isopo,Melaleuca quinquenervia,2018,28.1,8.0,0.3482,0.6384,0.6384,Activo
539,Isopo,Melaleuca quinquenervia,2019,28.9,8.0,0.3687,0.6761,0.6761,Activo
540,Muñeco,Cordia cymosa,2018,18.6,3.0,0.0576,0.1057,0.1057,Activo
540,Muñeco,Cordia cymosa,2019,21.4,3.0,0.0767,0.1407,0.1407,Activo
541,Cedro,Cedrela odorata,2018,66.9,11.0,1.9753,3.6217,3.6217,Activo
541,Cedro,Cedrela odorata,2019,68.7,11.0,2.0852,3.8232,3.8232,Activo
542,Targua,Croton draco,2018,26.6,8.0,0.2185,0.4006,0.4006,Activo
542,Targua,Croton draco,2019,28.3,8.0,0.2479,0.4546,0.4546,Activo
543,Malinche,Delonix regia,2018,41.5,11.0,1.214,2.226,2.226,Activo
543,Malinche,Delonix regia,2019,41.9,11.0,1.238,2.2699,2.2699,Activo
544,Malinche,Delonix regia,2018,38.5,11.0,1.0417,1.91,1.91,Activo
544,Malinche,Delonix regia,2019,39.4,11.0,1.092,2.0022,2.0022,Activo
545,Candelillo,Senna spectabilis,2018,37.8,12.0,0.9204,1.6876,1.6876,Activo
545,Candelillo,Senna spectabilis,2019,38.9,12.0,0.9759,1.7893,1.7893,Activo
546,Llama del bosque,Spathodea campanulata,2018,36.8,12.0,0.4503,0.8255,0.8255,Activo
546,Llama del bosque,Spathodea campanulata,2019,37.9,12.0,0.4781,0.8767,0.8767,Activo
547,Llama del bosque,Spathodea campanulata,2018,36.5,12.0,0.4428,0.8119,0.8119,Activo
547,Llama del bosque,Spathodea campanulata,2019,39.1,12.0,0.5095,0.9342,0.9342,Activo
548,Mandarina,Citrus sp,2018,20.3,6.0,0.1912,0.3505,0.3505,Activo
548,Mandarina,Citrus sp,2019,20.9,6.0,0.2029,0.372,0.372,Activo
549,Mango,Mangifera indica,2018,18.4,6.0,0.1132,0.2076,0.2076,Activo
549,Mango,Mangifera indica,2019,19.1,6.0,0.1222,0.224,0.224,Activo
550,Mango,Mangifera indica,2018,31.0,6.0,0.3281,0.6016,0.6016,Activo
550,Mango,Mangifera indica,2019,31.7,6.0,0.3434,0.6296,0.6296,Activo
551,Mango,Mangifera indica,2018,18.5,6.0,0.1145,0.2099,0.2099,Activo
551,Mango,Mangifera indica,2019,19.4,6.0,0.1261,0.2312,0.2312,Activo
552,Mango,Mangifera indica,2018,22.0,4.0,0.1189,0.2179,0.2179,Activo
552,Mango,Mangifera indica,2019,22.8,4.0,0.1278,0.2344,0.2344,Activo
553,Mango,Mangifera indica,2018,17.8,4.0,0.0772,0.1415,0.1415,Activo
553,Mango,Mangifera indica,2019,18.6,4.0,0.0844,0.1547,0.1547,Activo
554,Mango,Mangifera indica,2018,23.3,4.0,0.1336,0.245,0.245,Activo
554,Mango,Mangifera indica,2019,24.7,4.0,0.1505,0.276,0.276,Activo
555,Mango,Mangifera indica,2018,22.3,4.0,0.1222,0.224,0.224,Activo
555,Mango,Mangifera indica,2019,23.1,4.0,0.1313,0.2407,0.2407,Activo
556,Casco de venado,Bauhinia purpurea,2018,25.7,6.0,0.293,0.5372,0.5372,Activo
556,Casco de venado,Bauhinia purpurea,2019,26.7,6.0,0.3167,0.5807,0.5807,Activo
557,Casco de venado,Bauhinia purpurea,2018,16.1,6.0,0.1129,0.2069,0.2069,Activo
557,Casco de venado,Bauhinia purpurea,2019,16.8,6.0,0.1231,0.2257,0.2257,Activo
558,Isopo,Melaleuca quinquenervia,2018,17.6,7.0,0.1208,0.2215,0.2215,Activo
558,Isopo,Melaleuca quinquenervia,2019,18.4,7.0,0.1323,0.2426,0.2426,Activo
559,Roble sabana,Tabebuia rosea,2018,57.2,14.0,1.9329,3.544,3.544,Activo
559,Roble sabana,Tabebuia rosea,2019,59.9,14.0,2.1236,3.8937,3.8937,Activo
560,Casco de venado,Bauhinia purpurea,2018,26.6,6.0,0.3143,0.5763,0.5763,Activo
560,Casco de venado,Bauhinia purpurea,2019,27.7,6.0,0.3414,0.626,0.626,Activo
561,Casco de venado,Bauhinia purpurea,2018,19.5,6.0,0.1668,0.3059,0.3059,Activo
561,Casco de venado,Bauhinia purpurea,2019,20.4,6.0,0.1829,0.3354,0.3354,Activo
562,Casco de venado,Bauhinia purpurea,2018,25.8,6.0,0.2953,0.5415,0.5415,Activo
562,Casco de venado,Bauhinia purpurea,2019,26.4,6.0,0.3095,0.5675,0.5675,Activo
563,Cenizaro,Samanea saman,2018,46.4,11.0,1.1978,2.1961,2.1961,Activo
563,Cenizaro,Samanea saman,2019,46.9,11.0,1.2242,2.2446,2.2446,Activo
564,Isopo,Melaleuca quinquenervia,2018,16.8,6.0,0.0975,0.1787,0.1787,Activo
564,Isopo,Melaleuca quinquenervia,2019,17.6,6.0,0.1072,0.1965,0.1965,Activo
565,Isopo,Melaleuca quinquenervia,2018,15.7,6.0,0.0849,0.1556,0.1556,Activo
565,Isopo,Melaleuca quinquenervia,2019,16.4,6.0,0.0928,0.1701,0.1701,Activo
566,Isopo,Melaleuca quinquenervia,2018,22.1,6.0,0.1705,0.3126,0.3126,Activo
566,Isopo,Melaleuca quinquenervia,2019,22.9,6.0,0.1833,0.3361,0.3361,Activo
567,Isopo,Melaleuca quinquenervia,2018,15.0,6.0,0.0773,0.1418,0.1418,Activo
567,Isopo,Melaleuca quinquenervia,2019,15.7,6.0,0.0849,0.1556,0.1556,Activo
568,Isopo,Melaleuca quinquenervia,2018,16.2,6.0,0.0905,0.1659,0.1659,Activo
568,Isopo,Melaleuca quinquenervia,2019,17.0,6.0,0.0998,0.1831,0.1831,Activo
569,Isopo,Melaleuca quinquenervia,2018,22.0,6.0,0.1689,0.3097,0.3097,Activo
569,Isopo,Melaleuca quinquenervia,2019,22.7,6.0,0.1801,0.3302,0.3302,Activo
570,Isopo,Melaleuca quinquenervia,2018,18.1,6.0,0.1135,0.208,0.208,Activo
570,Isopo,Melaleuca quinquenervia,2019,18.8,6.0,0.1226,0.2248,0.2248,Activo
571,Isopo,Melaleuca quinquenervia,2018,23.7,8.0,0.246,0.4511,0.4511,Activo
571,Isopo,Melaleuca quinquenervia,2019,24.9,8.0,0.2721,0.4989,0.4989,Activo
572,Isopo,Melaleuca quinquenervia,2018,21.7,8.0,0.2055,0.3768,0.3768,Activo
572,Isopo,Melaleuca quinquenervia,2019,22.5,8.0,0.2213,0.4057,0.4057,Activo
573,Isopo,Melaleuca quinquenervia,2018,22.0,6.0,0.1689,0.3097,0.3097,Activo
573,Isopo,Melaleuca quinquenervia,2019,22.9,6.0,0.1833,0.3361,0.3361,Activo
574,Isopo,Melaleuca quinquenervia,2018,18.0,6.0,0.1122,0.2057,0.2057,Activo
574,Isopo,Melaleuca quinquenervia,2019,18.7,6.0,0.1213,0.2223,0.2223,Activo
575,Isopo,Melaleuca quinquenervia,2018,22.5,6.0,0.1769,0.3243,0.3243,Activo
575,Isopo,Melaleuca quinquenervia,2019,23.3,6.0,0.1899,0.3482,0.3482,Activo
576,Isopo,Melaleuca quinquenervia,2018,17.3,6.0,0.1035,0.1897,0.1897,Activo
576,Isopo,Melaleuca quinquenervia,2019,17.9,6.0,0.1109,0.2034,0.2034,Activo
577,Roble sabana,Tabebuia rosea,2018,40.9,16.0,1.082,1.9839,1.9839,Activo
577,Roble sabana,Tabebuia rosea,2019,41.4,16.0,1.1092,2.0337,2.0337,Activo
578,Roble sabana,Tabebuia rosea,2018,45.6,18.0,1.4807,2.7148,2.7148,Activo
578,Roble sabana,Tabebuia rosea,2019,46.2,18.0,1.5207,2.7881,2.7881,Activo
579,Candelillo,Senna spectabilis,2018,37.1,11.0,0.8279,1.518,1.518,Activo
579,Candelillo,Senna spectabilis,2019,37.9,11.0,0.8648,1.5856,1.5856,Activo
580,Jacaranda,Jacaranda mimosifolia,2018,43.7,11.0,1.0984,2.014,2.014,Activo
580,Jacaranda,Jacaranda mimosifolia,2019,44.9,11.0,1.1608,2.1284,2.1284,Activo
581,Uruca,Trichilia havanensis,2018,30.1,9.0,0.4391,0.8052,0.8052,Activo
581,Uruca,Trichilia havanensis,2019,31.1,9.0,0.4694,0.8607,0.8607,Activo
582,Uruca,Trichilia havanensis,2018,24.4,9.0,0.2862,0.5247,0.5247,Activo
582,Uruca,Trichilia havanensis,2019,25.0,9.0,0.3007,0.5513,0.5513,Activo
583,Yos,Sapium glandulosum,2018,40.1,11.0,0.7277,1.3342,1.3342,Activo
583,Yos,Sapium glandulosum,2019,40.9,11.0,0.7576,1.3891,1.3891,Activo
584,Casco de venado,Bauhinia purpurea,2018,29.1,5.0,0.3275,0.6005,0.6005,Activo
584,Casco de venado,Bauhinia purpurea,2019,29.8,5.0,0.3438,0.6304,0.6304,Activo
585,Casco de venado,Bauhinia purpurea,2018,23.0,5.0,0.2027,0.3717,0.3717,Activo
585,Casco de venado,Bauhinia purpurea,2019,23.7,5.0,0.2155,0.3951,0.3951,Activo
586,Casco de venado,Bauhinia purpurea,2018,28.7,5.0,0.3184,0.5838,0.5838,Activo
586,Casco de venado,Bauhinia purpurea,2019,29.5,5.0,0.3368,0.6175,0.6175,Activo
587,Casco de venado,Bauhinia purpurea,2018,27.7,4.0,0.2489,0.4564,0.4564,Activo
587,Casco de venado,Bauhinia purpurea,2019,28.3,4.0,0.2601,0.4768,0.4768,Activo
588,Mango,Mangifera indica,2018,20.4,5.0,0.1212,0.2223,0.2223,Activo
588,Mango,Mangifera indica,2019,21.3,5.0,0.1324,0.2427,0.2427,Activo
589,Mango,Mangifera indica,2018,33.7,5.0,0.3375,0.6189,0.6189,Activo
589,Mango,Mangifera indica,2019,34.5,5.0,0.3541,0.6492,0.6492,Activo
590,Vainillo,Tecoma stans,2018,21.7,7.0,0.1462,0.2681,0.2681,Activo
590,Vainillo,Tecoma stans,2019,22.7,7.0,0.1603,0.2939,0.2939,Activo
591,Vainillo,Tecoma stans,2018,28.6,7.0,0.2568,0.4709,0.4709,Activo
591,Vainillo,Tecoma stans,2019,29.6,7.0,0.2755,0.5051,0.5051,Activo
592,Vainillo,Tecoma stans,2018,14.7,8.0,0.0733,0.1344,0.1344,Activo
592,Vainillo,Tecoma stans,2019,15.7,8.0,0.0838,0.1537,0.1537,Activo
593,Isopo,Melaleuca quinquenervia,2018,23.6,6.0,0.1949,0.3574,0.3574,Activo
593,Isopo,Melaleuca quinquenervia,2019,24.1,6.0,0.2035,0.373,0.373,Activo
594,Tuete,Vernonia patens,2018,15.0,4.0,0.0297,0.0544,0.0544,Activo
594,Tuete,Vernonia patens,2019,15.5,4.0,0.0317,0.0582,0.0582,Activo
595,Grevilea,Grevillea robusta,2018,54.3,14.0,1.7745,3.2536,3.2536,Activo
595,Grevilea,Grevillea robusta,2019,55.2,14.0,1.835,3.3645,3.3645,Activo
596,Roble sabana,Tabebuia rosea,2018,34.4,12.0,0.6076,1.114,1.114,Activo
596,Roble sabana,Tabebuia rosea,2019,36.9,12.0,0.701,1.2853,1.2853,Activo
597,,,2018,0.0,,,,,Removido
597,,,2019,0.0,,,,,Removido
598,Guachipelin,Diphysa americana,2018,32.5,7.0,0.7259,1.331,1.331,Activo
598,Guachipelin,Diphysa americana,2019,33.4,7.0,0.7675,1.4072,1.4072,Activo
599,Guachipelin,Diphysa americana,2018,29.7,7.0,0.6041,1.1075,1.1075,Activo
599,Guachipelin,Diphysa americana,2019,30.6,7.0,0.642,1.1771,1.1771,Activo
600,Guachipelin,Diphysa americana,2018,37.2,7.0,0.9562,1.7532,1.7532,Activo
600,Guachipelin,Diphysa americana,2019,37.9,7.0,0.9933,1.8211,1.8211,Activo
601,Casco de venado,Bauhinia purpurea,2018,22.5,9.0,0.3064,0.5617,0.5617,Activo
601,Casco de venado,Bauhinia purpurea,2019,23.4,9.0,0.3319,0.6085,0.6085,Activo
602,Guachipelin,Diphysa americana,2018,18.4,7.0,0.2275,0.4171,0.4171,Activo
602,Guachipelin,Diphysa americana,2019,19.2,7.0,0.2481,0.4549,0.4549,Activo
603,Guachipelin,Diphysa americana,2018,14.5,7.0,0.1399,0.2565,0.2565,Activo
603,Guachipelin,Diphysa americana,2019,15.3,7.0,0.1561,0.2862,0.2862,Activo
604,Guachipelin,Diphysa americana,2018,46.8,11.0,2.1719,3.9822,3.9822,Activo
604,Guachipelin,Diphysa americana,2019,47.5,11.0,2.2387,4.1046,4.1046,Activo
605,Casco de venado,Bauhinia purpurea,2018,23.0,5.0,0.2027,0.3717,0.3717,Activo
605,Casco de venado,Bauhinia purpurea,2019,23.7,5.0,0.2155,0.3951,0.3951,Activo
606,Casco de venado,Bauhinia purpurea,2018,18.7,5.0,0.1329,0.2437,0.2437,Activo
606,Casco de venado,Bauhinia purpurea,2019,19.7,5.0,0.1478,0.271,0.271,Activo
607,Guachipelin,Diphysa americana,2018,23.8,10.0,0.5076,0.9307,0.9307,Activo
607,Guachipelin,Diphysa americana,2019,24.9,10.0,0.5566,1.0206,1.0206,Activo
608,Guachipelin,Diphysa americana,2018,20.6,9.0,0.3483,0.6387,0.6387,Activo
608,Guachipelin,Diphysa americana,2019,21.6,9.0,0.3837,0.7035,0.7035,Activo
609,Muñeco,Cordia cymosa,2018,24.7,7.0,0.1989,0.3647,0.3647,Activo
609,Muñeco,Cordia cymosa,2019,25.7,7.0,0.2157,0.3954,0.3954,Activo
610,Guachipelin,Diphysa americana,2018,33.0,8.0,0.831,1.5236,1.5236,Activo
610,Guachipelin,Diphysa americana,2019,33.8,8.0,0.8726,1.5999,1.5999,Activo
611,Guachipelin,Diphysa americana,2018,22.1,8.0,0.3668,0.6725,0.6725,Activo
611,Guachipelin,Diphysa americana,2019,22.7,8.0,0.3874,0.7103,0.7103,Activo
612,Guachipelin,Diphysa americana,2018,14.1,8.0,0.1466,0.2689,0.2689,Activo
612,Guachipelin,Diphysa americana,2019,14.6,8.0,0.1575,0.2887,0.2887,Activo
613,Llama del bosque,Spathodea campanulata,2018,61.4,16.0,1.6006,2.9347,2.9347,Activo
613,Llama del bosque,Spathodea campanulata,2019,62.5,16.0,1.6596,3.043,3.043,Activo
614,Casco de venado,Bauhinia purpurea,2018,14.8,5.0,0.0825,0.1512,0.1512,Activo
614,Casco de venado,Bauhinia purpurea,2019,15.5,5.0,0.0906,0.1662,0.1662,Activo
615,Casco de venado,Bauhinia purpurea,2018,22.8,7.0,0.2588,0.4745,0.4745,Activo
615,Casco de venado,Bauhinia purpurea,2019,23.5,7.0,0.2753,0.5047,0.5047,Activo
616,Cedro,Cedrela odorata,2018,96.5,18.0,6.1205,11.2219,11.2219,Activo
616,Cedro,Cedrela odorata,2019,97.2,18.0,6.2114,11.3885,11.3885,Activo
617,Casco de venado,Bauhinia purpurea,2018,15.7,7.0,0.1209,0.2217,0.2217,Activo
617,Casco de venado,Bauhinia purpurea,2019,16.5,7.0,0.1338,0.2453,0.2453,Activo
618,Casco de venado,Bauhinia purpurea,2018,21.9,7.0,0.2384,0.4371,0.4371,Activo
618,Casco de venado,Bauhinia purpurea,2019,22.6,7.0,0.2542,0.4661,0.4661,Activo
619,Guachipelin,Diphysa americana,2018,21.1,7.0,0.3008,0.5514,0.5514,Activo
619,Guachipelin,Diphysa americana,2019,23.1,7.0,0.3618,0.6633,0.6633,Activo
620,Guachipelin,Diphysa americana,2018,25.9,7.0,0.4569,0.8377,0.8377,Activo
620,Guachipelin,Diphysa americana,2019,26.6,7.0,0.4824,0.8845,0.8845,Activo
621,Roble sabana,Tabebuia rosea,2018,17.6,11.0,0.1447,0.2653,0.2653,Activo
621,Roble sabana,Tabebuia rosea,2019,19.3,11.0,0.1746,0.3202,0.3202,Activo
622,Guachipelin,Diphysa americana,2018,29.0,10.0,0.7596,1.3928,1.3928,Activo
622,Guachipelin,Diphysa americana,2019,29.8,10.0,0.803,1.4723,1.4723,Activo
623,Guachipelin,Diphysa americana,2018,15.8,7.0,0.1667,0.3057,0.3057,Activo
623,Guachipelin,Diphysa americana,2019,16.7,7.0,0.1866,0.3422,0.3422,Activo
624,Guachipelin,Diphysa americana,2018,25.7,7.0,0.4497,0.8245,0.8245,Activo
624,Guachipelin,Diphysa americana,2019,26.4,7.0,0.475,0.871,0.871,Activo
625,Mango,Mangifera indica,2018,13.4,6.0,0.0593,0.1087,0.1087,Activo
625,Mango,Mangifera indica,2019,13.9,6.0,0.0639,0.1171,0.1171,Activo
626,Guachipelin,Diphysa americana,2018,30.8,7.0,0.6506,1.1928,1.1928,Activo
626,Guachipelin,Diphysa americana,2019,31.5,7.0,0.6811,1.2488,1.2488,Activo
627,Guachipelin,Diphysa americana,2018,22.8,7.0,0.3523,0.6459,0.6459,Activo
627,Guachipelin,Diphysa americana,2019,23.6,7.0,0.3779,0.6929,0.6929,Activo
628,Guachipelin,Diphysa americana,2018,20.4,7.0,0.2807,0.5148,0.5148,Activo
628,Guachipelin,Diphysa americana,2019,20.9,7.0,0.295,0.5408,0.5408,Activo
629,Guachipelin,Diphysa americana,2018,25.3,11.0,0.6194,1.1356,1.1356,Activo
629,Guachipelin,Diphysa americana,2019,25.9,11.0,0.6497,1.1912,1.1912,Activo
630,Guachipelin,Diphysa americana,2018,25.0,11.0,0.6045,1.1083,1.1083,Activo
630,Guachipelin,Diphysa americana,2019,25.7,11.0,0.6395,1.1725,1.1725,Activo
631,Guachipelin,Diphysa americana,2018,30.6,11.0,0.9129,1.6738,1.6738,Activo
631,Guachipelin,Diphysa americana,2019,31.4,11.0,0.9623,1.7643,1.7643,Activo
632,Jocote,Spondias purpurea,2018,24.6,7.0,0.1553,0.2847,0.2847,Activo
632,Jocote,Spondias purpurea,2019,28.2,7.0,0.2052,0.3762,0.3762,Activo
